01/21 06:47:06 PM | Epoch[0] (19456/50000):	Loss 0.3004	Accurary 90.44%		Time 16.73s
01/21 06:47:23 PM | Epoch[0] (24320/50000):	Loss 0.2741	Accurary 91.20%		Time 16.86s
01/21 06:47:23 PM | Epoch[0] (24320/50000):	Loss 0.2741	Accurary 91.20%		Time 16.86s
01/21 06:47:23 PM | Epoch[0] (24320/50000):	Loss 0.2741	Accurary 91.20%		Time 16.86s
01/21 06:47:23 PM | Epoch[0] (24320/50000):	Loss 0.2741	Accurary 91.20%		Time 16.86s
01/21 06:47:23 PM | Epoch[0] (24320/50000):	Loss 0.2741	Accurary 91.20%		Time 16.86s
01/21 06:47:39 PM | Epoch[0] (29184/50000):	Loss 0.2582	Accurary 91.65%		Time 16.42s
01/21 06:47:39 PM | Epoch[0] (29184/50000):	Loss 0.2582	Accurary 91.65%		Time 16.42s
01/21 06:47:39 PM | Epoch[0] (29184/50000):	Loss 0.2582	Accurary 91.65%		Time 16.42s
01/21 06:47:39 PM | Epoch[0] (29184/50000):	Loss 0.2582	Accurary 91.65%		Time 16.42s
01/21 06:47:39 PM | Epoch[0] (29184/50000):	Loss 0.2582	Accurary 91.65%		Time 16.42s
01/21 06:47:55 PM | Epoch[0] (34048/50000):	Loss 0.2480	Accurary 91.90%		Time 16.29s
01/21 06:47:55 PM | Epoch[0] (34048/50000):	Loss 0.2480	Accurary 91.90%		Time 16.29s
01/21 06:47:55 PM | Epoch[0] (34048/50000):	Loss 0.2480	Accurary 91.90%		Time 16.29s
01/21 06:47:55 PM | Epoch[0] (34048/50000):	Loss 0.2480	Accurary 91.90%		Time 16.29s
01/21 06:47:55 PM | Epoch[0] (34048/50000):	Loss 0.2480	Accurary 91.90%		Time 16.29s
01/21 06:48:12 PM | Epoch[0] (38912/50000):	Loss 0.2414	Accurary 92.09%		Time 16.34s
01/21 06:48:12 PM | Epoch[0] (38912/50000):	Loss 0.2414	Accurary 92.09%		Time 16.34s
01/21 06:48:12 PM | Epoch[0] (38912/50000):	Loss 0.2414	Accurary 92.09%		Time 16.34s
01/21 06:48:12 PM | Epoch[0] (38912/50000):	Loss 0.2414	Accurary 92.09%		Time 16.34s
01/21 06:48:12 PM | Epoch[0] (38912/50000):	Loss 0.2414	Accurary 92.09%		Time 16.34s
01/21 06:48:28 PM | Epoch[0] (43776/50000):	Loss 0.2346	Accurary 92.28%		Time 16.09s
